                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.69936,                0.60269,                0.96381,                0.84879,                0.60479,                0.64801,                0.49958,                 1.3858,                 1.6288,                 1.2122,             0.00024772,             0.00024772,             0.00024772
                     89,                0.71579,                0.59595,                0.96464,                0.84433,                0.60324,                0.65306,                0.48847,                 1.3855,                 1.6187,                 1.2224,             0.00023121,             0.00023121,             0.00023121
                     90,                0.68485,                0.57029,                0.95753,                0.81585,                0.65498,                0.64119,                0.46358,                 1.3743,                 1.5684,                 1.2374,             0.00021471,             0.00021471,             0.00021471
                     91,                0.63127,                0.55473,                0.90601,                0.92497,                0.59502,                 0.6471,                0.46327,                 1.3705,                 1.5641,                 1.2396,             0.00019821,             0.00019821,             0.00019821
                     92,                0.60781,                0.52071,                0.89913,                0.78745,                0.62274,                0.63523,                0.45226,                 1.4131,                 1.7491,                 1.2531,              0.0001817,              0.0001817,              0.0001817
                     93,                0.62358,                 0.5084,                0.89816,                 0.9362,                0.55347,                 0.6389,                0.45761,                 1.4099,                 1.8079,                 1.2441,              0.0001652,              0.0001652,              0.0001652
                     94,                0.63653,                0.51534,                0.90934,                0.88937,                0.57977,                 0.6386,                0.45908,                 1.3745,                 1.6811,                 1.2224,              0.0001487,              0.0001487,              0.0001487
                     95,                0.61538,                0.48317,                0.88876,                0.88425,                0.59078,                0.64111,                0.45672,                 1.3434,                 1.6097,                 1.2062,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.6216,                0.48456,                0.90695,                0.88747,                 0.6491,                0.65498,                0.46122,                 1.3418,                 1.5654,                 1.2027,             0.00011569,             0.00011569,             0.00011569
                     97,                0.60657,                0.49852,                0.89422,                0.88508,                0.63981,                0.65376,                0.46852,                 1.3408,                 1.5253,                  1.195,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.58868,                0.46452,                0.87674,                0.81754,                0.64767,                0.64526,                0.47211,                 1.3363,                 1.5136,                 1.1901,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.59238,                0.46165,                0.86963,                  0.931,                0.58605,                0.64299,                0.46934,                  1.329,                 1.5136,                 1.1848,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.63519,                0.56092,                0.92988,                0.83369,                0.64767,                0.64152,                 0.4728,                 1.3281,                 1.4949,                 1.1767,             4.9677e-05,             4.9677e-05,             4.9677e-05
